Order_ID,Order_Date,Customer_Name,Segment,Region,Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-1001,2023-11-24,Vihaan Singh,Consumer,Central,Furniture,Product-15,504.66,2,0.0,467.64
ORD-1002,2023-01-17,Aarav Sharma,Consumer,West,Furniture,Product-33,1845.85,9,0.1,630.83
ORD-1003,2023-12-26,Sneha Kulkarni,Corporate,West,Office Supplies,Product-38,906.75,1,0.1,607.58
ORD-1004,2023-06-24,Diya Malhotra,Consumer,West,Office Supplies,Product-7,368.96,2,0.2,801.74
ORD-1005,2023-11-06,Diya Malhotra,Consumer,South,Technology,Product-8,2922.04,7,0.0,417.65
ORD-1006,2023-11-18,Manish Tiwari,Corporate,West,Technology,Product-5,232.89,4,0.2,980.79
ORD-1007,2023-04-30,Vihaan Singh,Corporate,Central,Office Supplies,Product-24,571.7,6,0.1,571.23
ORD-1008,2023-12-26,Deepak Mishra,Home Office,East,Technology,Product-11,1649.01,4,0.1,300.94
ORD-1009,2023-05-19,Suresh Yadav,Home Office,West,Technology,Product-21,2544.27,1,0.1,768.34
ORD-1010,2023-06-11,Rahul Khanna,Corporate,East,Furniture,Product-37,2641.47,6,0.1,552.07
ORD-1011,2023-07-22,Suresh Yadav,Corporate,West,Office Supplies,Product-9,815.22,9,0.2,671.12
ORD-1012,2023-08-08,Karan Malhotra,Corporate,Central,Furniture,Product-9,1577.63,2,0.0,819.43
ORD-1013,2023-03-20,Suresh Yadav,Consumer,South,Technology,Product-5,1215.83,10,0.3,387.85
ORD-1014,2023-10-11,Aarav Sharma,Home Office,East,Technology,Product-35,2277.55,6,0.0,81.55
ORD-1015,2023-03-22,Amit Agarwal,Consumer,Central,Technology,Product-12,1572.28,2,0.2,794.17
ORD-1016,2023-09-17,Manish Tiwari,Consumer,West,Office Supplies,Product-11,1664.2,9,0.0,478.63
ORD-1017,2023-09-08,Aarav Sharma,Consumer,Central,Office Supplies,Product-16,267.98,10,0.0,-188.65
ORD-1018,2023-09-06,Aditya Verma,Home Office,West,Furniture,Product-31,2845.86,3,0.2,385.98
ORD-1019,2023-11-07,Siddharth Jain,Consumer,West,Technology,Product-20,1257.08,6,0.3,869.5
ORD-1020,2023-08-20,Vihaan Singh,Consumer,West,Furniture,Product-22,161.0,9,0.1,464.97
ORD-1021,2023-01-04,Aditya Verma,Home Office,East,Furniture,Product-5,2725.72,6,0.0,368.4
ORD-1022,2023-05-23,Deepak Mishra,Corporate,West,Technology,Product-9,2197.72,10,0.3,15.9
ORD-1023,2023-08-31,Siddharth Jain,Consumer,East,Furniture,Product-28,1127.46,7,0.3,822.99
ORD-1024,2023-01-28,Deepak Mishra,Home Office,East,Furniture,Product-26,2211.82,2,0.1,-50.93
ORD-1025,2023-10-02,Amit Agarwal,Consumer,South,Furniture,Product-18,1441.62,2,0.3,750.43
ORD-1026,2023-10-09,Vihaan Singh,Consumer,East,Furniture,Product-16,582.3,8,0.3,-22.13
ORD-1027,2023-07-25,Vivaan Patel,Consumer,South,Furniture,Product-25,869.09,8,0.2,249.91
ORD-1028,2023-10-12,Deepak Mishra,Home Office,South,Furniture,Product-13,960.45,1,0.0,672.37
ORD-1029,2023-01-30,Vivaan Patel,Home Office,South,Technology,Product-34,556.55,9,0.0,806.75
ORD-1030,2023-02-05,Manish Tiwari,Consumer,West,Office Supplies,Product-8,2830.63,10,0.1,452.59
ORD-1031,2023-01-21,Manish Tiwari,Consumer,South,Technology,Product-38,1739.16,6,0.2,-34.46
ORD-1032,2023-06-10,Ananya Iyer,Corporate,South,Furniture,Product-20,1425.95,2,0.0,295.77
ORD-1033,2023-10-16,Vihaan Singh,Consumer,West,Technology,Product-17,484.12,6,0.0,843.05
ORD-1034,2023-07-09,Kavya Nair,Consumer,South,Technology,Product-20,1873.87,9,0.0,568.22
ORD-1035,2023-10-11,Kavya Nair,Home Office,East,Furniture,Product-17,434.74,2,0.1,54.05
ORD-1036,2023-11-06,Rohan Gupta,Home Office,Central,Furniture,Product-17,1565.69,5,0.0,-180.01
ORD-1037,2023-08-05,Diya Malhotra,Consumer,East,Office Supplies,Product-9,1947.63,5,0.1,663.6
ORD-1038,2023-10-10,Alok Srivastava,Corporate,East,Furniture,Product-5,2840.65,3,0.0,784.97
ORD-1039,2023-10-26,Sneha Kulkarni,Consumer,South,Furniture,Product-3,993.95,1,0.2,-26.9
ORD-1040,2023-05-08,Deepak Mishra,Consumer,Central,Technology,Product-27,2924.13,3,0.1,823.99
ORD-1041,2023-04-01,Siddharth Jain,Consumer,West,Technology,Product-22,2368.92,7,0.1,46.85
ORD-1042,2023-12-26,Vihaan Singh,Corporate,East,Office Supplies,Product-15,678.76,8,0.2,96.75
ORD-1043,2023-04-27,Ananya Iyer,Consumer,West,Office Supplies,Product-22,907.95,2,0.2,156.49
ORD-1044,2023-09-18,Rahul Khanna,Home Office,Central,Furniture,Product-8,2643.41,5,0.1,454.77
ORD-1045,2023-05-16,Vivaan Patel,Consumer,South,Office Supplies,Product-21,1365.54,9,0.0,200.75
ORD-1046,2023-10-23,Rohan Gupta,Corporate,East,Technology,Product-28,104.9,9,0.1,173.49
ORD-1047,2023-02-05,Deepak Mishra,Corporate,Central,Technology,Product-8,2187.29,5,0.2,566.96
ORD-1048,2023-06-17,Rahul Khanna,Home Office,Central,Technology,Product-9,656.34,7,0.1,500.17
ORD-1049,2023-06-04,Rahul Khanna,Home Office,East,Office Supplies,Product-19,709.53,10,0.2,304.48
